timestamp,channel,system_slot,sfn,slot_in_frame,rnti,rapid,tx_gain,on_air_ticks,outcome
2026-06-26T12:37:50.780,Msg1_PRACH,8814,881,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:50.850,Msg1_PRACH,8974,897,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:50.880,Msg1_PRACH,9134,913,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:50.911,Msg1_PRACH,9294,929,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:50.980,Msg1_PRACH,9454,945,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:51.011,Msg1_PRACH,9614,961,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:51.041,Msg1_PRACH,9774,977,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:51.111,Msg1_PRACH,9934,993,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:51.141,Msg1_PRACH,10094,1009,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:51.171,Msg1_PRACH,10254,1025,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:51.241,Msg1_PRACH,10414,1041,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:51.271,Msg1_PRACH,10574,1057,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:51.302,Msg1_PRACH,10734,1073,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:51.371,Msg1_PRACH,10894,1089,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:51.402,Msg1_PRACH,11054,1105,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:51.432,Msg1_PRACH,11214,1121,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:51.502,Msg1_PRACH,11374,1137,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:51.532,Msg1_PRACH,11534,1153,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:51.563,Msg1_PRACH,11694,1169,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:51.632,Msg1_PRACH,11854,1185,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:51.663,Msg1_PRACH,12014,1201,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:51.693,Msg1_PRACH,12174,1217,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:51.763,Msg1_PRACH,12334,1233,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:51.793,Msg1_PRACH,12494,1249,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:51.824,Msg1_PRACH,12654,1265,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:51.893,Msg1_PRACH,12814,1281,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:51.924,Msg1_PRACH,12974,1297,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:51.954,Msg1_PRACH,13134,1313,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.024,Msg1_PRACH,13294,1329,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.054,Msg1_PRACH,13454,1345,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.084,Msg1_PRACH,13614,1361,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.154,Msg1_PRACH,13774,1377,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.184,Msg1_PRACH,13934,1393,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.215,Msg1_PRACH,14094,1409,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.284,Msg1_PRACH,14254,1425,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.315,Msg1_PRACH,14414,1441,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.345,Msg1_PRACH,14574,1457,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.415,Msg1_PRACH,14734,1473,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.445,Msg1_PRACH,14894,1489,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.476,Msg1_PRACH,15054,1505,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.545,Msg1_PRACH,15214,1521,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.576,Msg1_PRACH,15374,1537,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.606,Msg1_PRACH,15534,1553,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.676,Msg1_PRACH,15694,1569,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.706,Msg1_PRACH,15854,1585,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.736,Msg1_PRACH,16014,1601,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.806,Msg1_PRACH,16174,1617,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.836,Msg1_PRACH,16334,1633,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.867,Msg1_PRACH,16494,1649,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.936,Msg1_PRACH,16654,1665,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.967,Msg1_PRACH,16814,1681,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:52.997,Msg1_PRACH,16974,1697,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:53.067,Msg1_PRACH,17134,1713,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:53.097,Msg1_PRACH,17294,1729,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:53.128,Msg1_PRACH,17454,1745,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:53.197,Msg1_PRACH,17614,1761,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:53.228,Msg1_PRACH,17774,1777,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:53.258,Msg1_PRACH,17934,1793,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:53.328,Msg1_PRACH,18094,1809,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:53.358,Msg1_PRACH,18254,1825,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:53.389,Msg1_PRACH,18414,1841,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:53.458,Msg1_PRACH,18574,1857,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:53.489,Msg1_PRACH,18734,1873,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:53.519,Msg1_PRACH,18894,1889,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:53.589,Msg1_PRACH,19054,1905,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:53.619,Msg1_PRACH,19214,1921,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:53.650,Msg1_PRACH,19374,1937,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:53.719,Msg1_PRACH,19534,1953,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:53.750,Msg1_PRACH,19694,1969,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:53.780,Msg1_PRACH,19854,1985,4,0x0039,0,40.0,0,transmitted
